
Where is the water main shut off?
Where is the water heater?
Where is the electrical panel?
Any local numbers/recs you want to share
Any things I should be careful about?
Is there a fire extinguisher and brand / model
Closest gas station
What should I do if  a pipe has burst?
What should I do if the toilet is overflowing
What should I do if the power goes off?
What should I do if the heating/cooling stops working?
What can I contact the host in an emergency?
What shall I do if the smart lock isnt working?
What should I do if I locked myself out with the key inside the house?
What shall I do if the internet goes out?
What should I do if someone is injured?
What should I do in case of broken glass?
What should I do for weather related property damage?
Brand and model of coffeemaker
Brand and model of Stove
Brand and model of Fridge
Brand and model of Dishwasher
Brand and model of smart lock
Brand and model of Whirlpool/Hot tub
Brand and model of Gas grill
Brand and model of hairdryer
Brand and model of iron
Brand and model of Washing Machine and Dryer
Brand and model of Microwave
Brand and model of Toaster/Toaster Oven
"Brand and model of HVAC (Heating, Ventilation, and Air Conditioning) System"
Brand and model of Television and Entertainment Systems
Please list any other appliances such as split or window AC units etc that guests may have trouble operating
What's the Wi-Fi password?
"How do I check in/get into the property? (Even with instructions, guests often seek confirmation or have issues with smart locks/keypads.)"
What time is check-in/check-out?
Where do I park?
Where are the extra towels/linens?
Where are extra blankets/lines/comforters?
Where do I put the trash/recycling? When is trash pickup?
"Do you provide toiletries/basic supplies (e.g., toilet paper, paper towels, dish soap)?"
Are pets allowed? What are the rules for pets?
"What are your house rules? (Especially regarding noise, parties, smoking.)"
Can you recommend local restaurants/cafes?
What are some popular local attractions/things to do nearby?
Is there a grocery store nearby?
Where's the dishwasher detergent?
Is there a grill? How do I use it?
Is there a first-aid kit? Where is it?
"What's the best way to get around (public transport, taxis, ride-sharing)?"
Do you have a crib/pack-n-play or high chair available?
Local recommendation for family fun
What's the bedding configuration in each room?
"Is there a specific checkout procedure (e.g., strip beds, start laundry)?"
Where are the cleaning supplies?/broom/vac
What's the noise level like in the area?
Are there sports channels on the TV?
Is there a cell phone signal?
Are there any stairs in the property?
What sort of wild animals might we see? (Common for rural/nature-based rentals)
Can we use the water from the taps for drinking/cooking? (More common in places with well water or specific water advisories.)
Is there a fireplace/fire pit? How do I use it?
What is the maximum occupancy?
Do you offer discounts for longer stays/return visits?
Where is the nearest pharmacy/hospital?
Can you hold our luggage after check-out?
